index	sheet	BMS	UNOCF	TC	status
4957	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,1,0)(3,2,0)(4,3,1)(5,3,1)(6,2,0)(4,3,0)	psi(I+psi_I(I+psi_I(I))+psi_I(I+2))		untranslated
4958	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,1,0)(3,2,1)	psi(I+psi_I(I+psi_I(I))+psi_I(I+w))		untranslated
4959	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,1,0)(3,2,1)(4,2,1)	psi(I+psi_I(I+psi_I(I))+psi_I(I+w^2))		untranslated
4960	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,1,0)(3,2,1)(4,2,1)(5,1,0)	psi(I+psi_I(I+psi_I(I))+psi_I(I+W))		untranslated
4961	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,1,0)(3,2,1)(4,2,1)(5,1,0)(1,1,1)(2,1,1)(3,1,0)	psi(I+psi_I(I+psi_I(I))+psi_I(I+W_W))		untranslated
4962	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,1,0)(3,2,1)(4,2,1)(5,1,0)(1,1,1)(2,1,1)(3,1,0)(2,0,0)	psi(I+psi_I(I+psi_I(I))*2)		untranslated
4963	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,1,0)(3,2,1)(4,2,1)(5,1,0)(3,2,0)	psi(I+psi_I(I+psi_I(I))*2+psi_I(I+1))		untranslated
4964	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,1,0)(3,2,1)(4,2,1)(5,1,0)(3,2,1)(4,2,1)(5,1,0)	psi(I+psi_I(I+psi_I(I))*2+psi_I(I+W))		untranslated
4965	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,1,0)(3,2,1)(4,2,1)(5,1,0)(3,2,1)(4,2,1)(5,1,0)(1,1,1)(2,1,1)(3,1,0)(2,0,0)	psi(I+psi_I(I+psi_I(I))*3)		untranslated
4966	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,1,0)(4,0,0)	psi(I+psi_I(I+psi_I(I))*w)		untranslated
4967	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,1,0)(4,1,0)	psi(I+psi_I(I+psi_I(I))*W)		untranslated
4968	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,1,0)(4,1,0)(1,1,1)	psi(I+psi_I(I+psi_I(I))*W_w)		untranslated
4969	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,1,0)(4,1,0)(1,1,1)(2,1,1)(3,1,0)	psi(I+psi_I(I+psi_I(I))*W_W)		untranslated
4970	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,1,0)(4,1,0)(1,1,1)(2,1,1)(3,1,0)(2,0,0)	psi(I+psi_I(I+psi_I(I))*psi_I(I))		untranslated
4971	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,1,0)(4,1,0)(3,2,0)	psi(I+psi_I(I+psi_I(I))*psi_I(I)+psi_I(I+1))		untranslated
4972	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,1,0)(4,1,0)(3,2,1)(4,2,1)(5,1,0)(1,1,1)(2,1,1)(3,1,0)(2,0,0)	psi(I+psi_I(I+psi_I(I))*psi_I(I)+psi_I(I+psi_I(I)))		untranslated
4973	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,1,0)(4,1,0)(3,2,1)(4,2,1)(5,1,0)(4,1,0)(1,1,1)(2,1,1)(3,1,0)(2,0,0)	psi(I+psi_I(I+psi_I(I))*psi_I(I)*2)		untranslated
4974	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,1,0)(4,1,0)(4,1,0)(1,1,1)(2,1,1)(3,1,0)(2,0,0)	psi(I+psi_I(I+psi_I(I))*psi_I(I)^2)		untranslated
4975	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,1,0)(4,1,0)(5,1,0)(1,1,1)(2,1,1)(3,1,0)(2,0,0)	psi(I+psi_I(I+psi_I(I))*psi_I(I)^psi_I(I))		untranslated
4976	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,1,0)(4,1,0)(5,2,0)	psi(I+psi_I(I+psi_I(I))*psi_(psi_I(I+1))(psi_I(I+1)))		untranslated
4977	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,1,0)(4,2,0)	psi(I+psi_I(I+psi_I(I))*psi_I(I+1))		untranslated
4978	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,1,0)(4,2,0)(3,2,1)	psi(I+psi_I(I+psi_I(I))*psi_I(I+w))		untranslated
4979	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,1,0)(4,2,0)(3,2,1)(4,2,1)(5,1,0)	psi(I+psi_I(I+psi_I(I))*psi_I(I+W))		untranslated
4980	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,1,0)(4,2,0)(3,2,1)(4,2,1)(5,1,0)(1,1,1)(2,1,1)(3,1,0)	psi(I+psi_I(I+psi_I(I))*psi_I(I+W_W))		untranslated
4981	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,1,0)(4,2,0)(3,2,1)(4,2,1)(5,1,0)(1,1,1)(2,1,1)(3,1,0)(2,0,0)	psi(I+psi_I(I+psi_I(I))^2)		untranslated
4982	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,1,0)(4,2,0)(4,2,0)(1,1,1)(2,1,1)(3,1,0)(2,0,0)	psi(I+psi_I(I+psi_I(I))^3)		untranslated
4983	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,1,0)(4,2,0)(5,2,0)(1,1,1)(2,1,1)(3,1,0)(2,0,0)	psi(I+psi_I(I+psi_I(I))^psi_I(I+psi_I(I)))		untranslated
4984	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,1,0)(4,2,0)(5,3,0)	psi(I+psi_I(I+psi_I(I)+1))		untranslated
4985	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,1,0)(4,2,0)(5,3,0)(6,4,0)	psi(I+psi_I(I+psi_I(I)+2))		untranslated
4986	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,1,0)(4,2,0)(5,3,1)	psi(I+psi_I(I+psi_I(I)+w))		untranslated
4987	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,1,0)(4,2,0)(5,3,1)(6,3,1)	psi(I+psi_I(I+psi_I(I)+w^2))		untranslated
4988	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,1,0)(4,2,0)(5,3,1)(6,3,1)(7,1,0)	psi(I+psi_I(I+psi_I(I)+W))		untranslated
4989	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,1,0)(4,2,0)(5,3,1)(6,3,1)(7,1,0)(1,1,1)	psi(I+psi_I(I+psi_I(I)+W_w))		untranslated
4990	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,1,0)(4,2,0)(5,3,1)(6,3,1)(7,1,0)(1,1,1)(2,1,1)(3,1,0)	psi(I+psi_I(I+psi_I(I)+W_W))		untranslated
4991	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,1,0)(4,2,0)(5,3,1)(6,3,1)(7,1,0)(1,1,1)(2,1,1)(3,1,0)(2,0,0)	psi(I+psi_I(I+psi_I(I)*2))		untranslated
4992	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,1,0)(4,2,0)(5,3,1)(6,3,1)(7,1,0)(6,3,0)(7,4,0)	psi(I+psi_I(I+psi_I(I)*2+1))		untranslated
4993	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,1,0)(4,2,0)(5,3,1)(6,3,1)(7,1,0)(6,3,0)(7,4,1)(8,4,1)(9,1,0)	psi(I+psi_I(I+psi_I(I)*2+W))		untranslated
4994	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,1,0)(4,2,0)(5,3,1)(6,3,1)(7,1,0)(6,3,0)(7,4,1)(8,4,1)(9,1,0)(1,1,1)(2,1,1)(3,1,0)(2,0,0)	psi(I+psi_I(I+psi_I(I)*3))		untranslated
4995	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,1,0)(4,2,1)	psi(I+psi_I(I+psi_I(I)*w))		untranslated
4996	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,1,0)(4,2,1)(4,2,1)	psi(I+psi_I(I+psi_I(I)*w^2))		untranslated
4997	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,1,0)(4,2,1)(5,1,0)	psi(I+psi_I(I+psi_I(I)*W))		untranslated
4998	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,1,0)(4,2,1)(5,1,0)(1,1,1)	psi(I+psi_I(I+psi_I(I)*W_w))		untranslated
4999	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,1,0)(4,2,1)(5,1,0)(1,1,1)(2,1,1)	psi(I+psi_I(I+psi_I(I)*W_(w^2)))		untranslated
5000	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,1,0)(4,2,1)(5,1,0)(1,1,1)(2,1,1)(3,1,0)	psi(I+psi_I(I+psi_I(I)*W_W))		untranslated
5001	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,1,0)(4,2,1)(5,1,0)(1,1,1)(2,1,1)(3,1,0)(2,0,0)	psi(I+psi_I(I+psi_I(I)^2))		untranslated
5002	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,1,0)(4,2,1)(5,1,0)(4,2,0)(5,3,0)	psi(I+psi_I(I+psi_I(I)^2+1))		untranslated
5003	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,1,0)(4,2,1)(5,1,0)(4,2,0)(5,3,1)(6,3,1)(7,1,0)	psi(I+psi_I(I+psi_I(I)^2+W))		untranslated
5004	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,1,0)(4,2,1)(5,1,0)(4,2,0)(5,3,1)(6,3,1)(7,1,0)(1,1,1)(2,1,1)(3,1,0)(2,0,0)	psi(I+psi_I(I+psi_I(I)^2+psi_I(I)))		untranslated
5005	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,1,0)(4,2,1)(5,1,0)(4,2,0)(5,3,1)(6,3,1)(7,1,0)(6,3,1)(7,1,0)(1,1,1)(2,1,1)(3,1,0)(2,0,0)	psi(I+psi_I(I+psi_I(I)^2*2))		untranslated
5006	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,1,0)(4,2,1)(5,1,0)(4,2,1)(5,1,0)	psi(I+psi_I(I+psi_I(I)^2*W))		untranslated
5007	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,1,0)(4,2,1)(5,1,0)(4,2,1)(5,1,0)(1,1,1)(2,1,1)(3,1,0)(2,0,0)	psi(I+psi_I(I+psi_I(I)^3))		untranslated
5008	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,1,0)(4,2,1)(5,1,0)(4,2,1)(5,1,0)(4,2,1)(5,1,0)(1,1,1)(2,1,1)(3,1,0)(2,0,0)	psi(I+psi_I(I+psi_I(I)^4))		untranslated
5009	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,1,0)(5,1,0)	psi(I+psi_I(I+psi_I(I)^W))		untranslated
5010	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,1,0)(5,1,0)(1,1,1)(2,1,1)(3,1,0)(2,0,0)	psi(I+psi_I(I+psi_I(I)^psi_I(I)))		untranslated
5011	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,1,0)(6,1,0)(7,1,0)(1,1,1)(2,1,1)(3,1,0)(2,0,0)	psi(I+psi_I(I+psi_I(I)^psi_I(I)^psi_I(I)))		untranslated
5012	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,1,0)(6,2,0)	psi(I+psi_I(I+psi_(psi_I(I+1))(psi_I(I+1))))		untranslated
5013	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,1,0)(6,2,0)(7,3,0)	psi(I+psi_I(I+psi_(psi_I(I+1))(psi_I(I+2))))		untranslated
5014	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,1,0)(6,2,1)	psi(I+psi_I(I+psi_(psi_I(I+1))(psi_I(I+w))))		untranslated
5015	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,1,0)(6,2,1)(7,2,1)(8,1,0)	psi(I+psi_I(I+psi_(psi_I(I+1))(psi_I(I+W))))		untranslated
5016	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,1,0)(6,2,1)(7,2,1)(8,1,0)(1,1,1)(2,1,1)(3,1,0)(2,0,0)	psi(I+psi_I(I+psi_(psi_I(I+1))(psi_I(I+psi_I(I)))))		untranslated
5017	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,1,0)(6,2,1)(7,2,1)(8,1,0)(7,2,1)	psi(I+psi_I(I+psi_(psi_I(I+1))(psi_I(I+psi_I(I)*w))))		untranslated
5018	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,1,0)(6,2,1)(7,2,1)(8,1,0)(9,2,0)	psi(I+psi_I(I+psi_(psi_I(I+1))(psi_I(I+psi_(psi_I(I+1))(psi_I(I+1))))))		untranslated
5019	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,2,0)	psi(I+psi_I(I+psi_I(I+1)))		untranslated
5020	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,2,0)(1,1,1)	psi(I+psi_I(I+psi_I(I+1))+W_w)		untranslated
5021	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,2,0)(1,1,1)(2,1,1)(3,1,0)(2,0,0)	psi(I+psi_I(I+psi_I(I+1))+psi_I(I))		untranslated
5022	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,2,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,0)	psi(I+psi_I(I+psi_I(I+1))+psi_(psi_I(I+1))(psi_I(I+1)))		untranslated
5023	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,2,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,2,0)	psi(I+psi_I(I+psi_I(I+1))+psi_(psi_I(I+1))(psi_I(I+psi_I(I+1)))		untranslated
5024	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,2,0)(2,1,0)	psi(I+psi_I(I+psi_I(I+1))+psi_(psi_I(I+1))(psi_I(I+psi_I(I+1))*W)		untranslated
5025	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,2,0)(3,2,0)	psi(I+psi_I(I+psi_I(I+1))+psi_I(I+1))		untranslated
5026	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,2,0)(3,2,0)(4,3,0)	psi(I+psi_I(I+psi_I(I+1))+psi_(psi_I(I+2))(psi_I(I+2)))		untranslated
5027	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,2,0)(3,2,0)(4,3,1)(5,3,1)(6,2,0)	psi(I+psi_I(I+psi_I(I+1))+psi_(psi_I(I+2))(I+psi_I(I+1)))		untranslated
5028	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,2,0)(3,2,0)(4,3,1)(5,3,1)(6,2,0)(4,3,0)	psi(I+psi_I(I+psi_I(I+1))+psi_I(I+2))		untranslated
5029	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,2,0)(3,2,0)(4,3,1)(5,3,1)(6,2,0)(4,3,1)	psi(I+psi_I(I+psi_I(I+1))+psi_I(I+w))		untranslated
5030	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,2,0)(3,2,0)(4,3,1)(5,3,1)(6,2,0)(4,3,1)(5,3,1)	psi(I+psi_I(I+psi_I(I+1))+psi_I(I+w^2))		untranslated
5031	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,2,0)(3,2,0)(4,3,1)(5,3,1)(6,2,0)(4,3,1)(5,3,1)(6,1,0)	psi(I+psi_I(I+psi_I(I+1))+psi_I(I+W))		untranslated
5032	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,2,0)(3,2,0)(4,3,1)(5,3,1)(6,2,0)(4,3,1)(5,3,1)(6,2,0)	psi(I+psi_I(I+psi_I(I+1))*2)		untranslated
5033	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,2,0)(3,2,0)(4,3,1)(5,3,1)(6,2,0)(5,1,0)	psi(I+psi_I(I+psi_I(I+1))*W)		untranslated
5034	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,2,0)(3,2,0)(4,3,1)(5,3,1)(6,2,0)(5,1,0)(1,1,1)(2,1,1)(3,1,0)(2,0,0)	psi(I+psi_I(I+psi_I(I+1))*psi_I(I))		untranslated
5035	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,2,0)(3,2,0)(4,3,1)(5,3,1)(6,2,0)(5,2,0)	psi(I+psi_I(I+psi_I(I+1))*psi_I(I+1))		untranslated
5036	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,2,0)(3,2,0)(4,3,1)(5,3,1)(6,2,0)(5,3,0)	psi(I+psi_I(I+psi_I(I+1))*psi_I(I+2))		untranslated
5037	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,2,0)(3,2,0)(4,3,1)(5,3,1)(6,2,0)(5,3,0)(4,3,1)	psi(I+psi_I(I+psi_I(I+1))*psi_I(I+w))		untranslated
5038	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,2,0)(3,2,0)(4,3,1)(5,3,1)(6,2,0)(5,3,0)(4,3,1)(5,3,1)(6,1,0)	psi(I+psi_I(I+psi_I(I+1))*psi_I(I+W))		untranslated
5039	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,2,0)(3,2,0)(4,3,1)(5,3,1)(6,2,0)(5,3,0)(4,3,1)(5,3,1)(6,1,0)(1,1,1)(2,1,1)(3,1,0)(2,0,0)	psi(I+psi_I(I+psi_I(I+1))*psi_I(I+psi_I(I)))		untranslated
5040	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,2,0)(3,2,0)(4,3,1)(5,3,1)(6,2,0)(5,3,0)(4,3,1)(5,3,1)(6,2,0)	psi(I+psi_I(I+psi_I(I+1))^2)		untranslated
5041	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,2,0)(3,2,0)(4,3,1)(5,3,1)(6,2,0)(5,3,0)(5,3,0)(4,3,1)(5,3,1)(6,2,0)	psi(I+psi_I(I+psi_I(I+1))^3)		untranslated
5042	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,2,0)(3,2,0)(4,3,1)(5,3,1)(6,2,0)(5,3,0)(6,3,0)(4,3,1)(5,3,1)(6,2,0)	psi(I+psi_I(I+psi_I(I+1))^psi_I(I+psi_I(I+1)))		untranslated
5043	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,2,0)(3,2,0)(4,3,1)(5,3,1)(6,2,0)(5,3,0)(6,4,0)	psi(I+psi_I(I+psi_I(I+1)+1))		untranslated
5044	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,2,0)(3,2,0)(4,3,1)(5,3,1)(6,2,0)(5,3,0)(6,4,0)(7,5,0)	psi(I+psi_I(I+psi_I(I+1)+2))		untranslated
5045	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,2,0)(3,2,0)(4,3,1)(5,3,1)(6,2,0)(5,3,0)(6,4,1)	psi(I+psi_I(I+psi_I(I+1)+w))		untranslated
5046	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,2,0)(3,2,0)(4,3,1)(5,3,1)(6,2,0)(5,3,0)(6,4,1)(7,4,1)(8,1,0)	psi(I+psi_I(I+psi_I(I+1)+W))		untranslated
5047	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,2,0)(3,2,0)(4,3,1)(5,3,1)(6,2,0)(5,3,0)(6,4,1)(7,4,1)(8,1,0)(1,1,1)(2,1,1)(3,1,0)(2,0,0)	psi(I+psi_I(I+psi_I(I+1)+psi_I(I)))		untranslated
5048	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,2,0)(3,2,0)(4,3,1)(5,3,1)(6,2,0)(5,3,0)(6,4,1)(7,4,1)(8,1,0)(7,0)(8,5,0)	psi(I+psi_I(I+psi_I(I+1)+psi_I(I)+1))		untranslated
5049	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,2,0)(3,2,0)(4,3,1)(5,3,1)(6,2,0)(5,3,0)(6,4,1)(7,4,1)(8,1,0)(7,0)(8,5,1)(9,5,1)(10,1,0)(1,1,1)(2,1,1)(3,1,0)(2,0,0)	psi(I+psi_I(I+psi_I(I+1)+psi_I(I)*2))		untranslated
5050	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,2,0)(3,2,0)(4,3,1)(5,3,1)(6,2,0)(5,3,0)(6,4,1)(7,4,1)(8,1,0)(7,4,1)	psi(I+psi_I(I+psi_I(I+1)+psi_I(I)*w))		untranslated
5051	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,2,0)(3,2,0)(4,3,1)(5,3,1)(6,2,0)(5,3,0)(6,4,1)(7,4,1)(8,1,0)(7,4,1)(8,1,0)	psi(I+psi_I(I+psi_I(I+1)+psi_I(I)^2))		untranslated
5052	To psi(W(2,0))	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(2,1,0)(3,2,1)(4,2,1)(5,2,0)(3,2,0)(4,3,1)(5,3,1)(6,2,0)(5,3,0)(6,4,1)(7,4,1)(8,2,0)	psi(I+psi_I(I+psi_I(I+1)*2))		untranslated
