index	sheet	BMS	UNOCF	TC	status
48	To psi(I)	(0,0)(1,1)(1,0)(2,1)(2,0)(1,0)(2,1)(2,0)	e0^(w2) = psi(W+e0*w2)	C(C(C(0,C(Ω_1,0)),C(C(0,C(Ω_1,0)),C(Ω_1,0))),C(Ω_1,0))	verified
49	To psi(I)	(0,0)(1,1)(1,0)(2,1)(2,0)(2,0)	e0^w^2 = psi(W+e0*w^2)	C(C(C(0,C(0,C(Ω_1,0))),C(Ω_1,0)),C(Ω_1,0))	verified
50	To psi(I)	(0,0)(1,1)(1,0)(2,1)(2,0)(3,0)	e0^w^w = psi(W+e0*w^w)	C(C(C(C(0,0),C(Ω_1,0)),C(Ω_1,0)),C(Ω_1,0))	verified
51	To psi(I)	(0,0)(1,1)(1,0)(2,1)(2,0)(3,1)	e0^e0 = psi(W+e0^2)	C(C(C(C(Ω_1,0),C(Ω_1,0)),C(Ω_1,0)),C(Ω_1,0))	verified
52	To psi(I)	(0,0)(1,1)(1,0)(2,1)(2,0)(3,1)(2,0)	e0^(e0*w) = psi(W+e0^2*w)	C(C(C(0,C(C(Ω_1,0),C(Ω_1,0))),C(Ω_1,0)),C(Ω_1,0))	verified
53	To psi(I)	(0,0)(1,1)(1,0)(2,1)(2,0)(3,1)(2,0)(3,1)	e0^e0^2 = psi(W+e0^3)	C(C(C(C(Ω_1,0),C(C(Ω_1,0),C(Ω_1,0))),C(Ω_1,0)),C(Ω_1,0))	verified
54	To psi(I)	(0,0)(1,1)(1,0)(2,1)(2,0)(3,1)(3,0)	e0^e0^w = psi(W+e0^w)	C(C(C(C(0,C(Ω_1,0)),C(Ω_1,0)),C(Ω_1,0)),C(Ω_1,0))	verified
55	To psi(I)	(0,0)(1,1)(1,0)(2,1)(2,0)(3,1)(3,0)(3,0)	e0^e0^w^2 = psi(W+e0^w^2)	C(C(C(C(0,C(0,C(Ω_1,0))),C(Ω_1,0)),C(Ω_1,0)),C(Ω_1,0))	verified
56	To psi(I)	(0,0)(1,1)(1,0)(2,1)(2,0)(3,1)(3,0)(4,0)	e0^e0^w^w = psi(W+e0^w^w)	C(C(C(C(C(0,0),C(Ω_1,0)),C(Ω_1,0)),C(Ω_1,0)),C(Ω_1,0))	verified
57	To psi(I)	(0,0)(1,1)(1,0)(2,1)(2,0)(3,1)(3,0)(4,1)	e0^e0^e0 = psi(W+e0^e0)	C(C(C(C(C(Ω_1,0),C(Ω_1,0)),C(Ω_1,0)),C(Ω_1,0)),C(Ω_1,0))	verified
58	To psi(I)	(0,0)(1,1)(1,1)	e1 = psi(W2)	C(Ω_1,C(Ω_1,0))	verified
59	To psi(I)	(0,0)(1,1)(1,1)(0,0)	e1+1	C(0,C(Ω_1,C(Ω_1,0)))	verified
60	To psi(I)	(0,0)(1,1)(1,1)(0,0)(1,1)(1,1)	e1*2	C(C(Ω_1,C(Ω_1,0)),C(Ω_1,C(Ω_1,0)))	verified
61	To psi(I)	(0,0)(1,1)(1,1)(1,0)	e1*w = psi(W2+1)	C(C(0,C(Ω_1,C(Ω_1,0))),C(Ω_1,C(Ω_1,0)))	verified
62	To psi(I)	(0,0)(1,1)(1,1)(1,0)(2,1)(2,1)	e1^2 = psi(W2+e1)	C(C(C(Ω_1,C(Ω_1,0)),C(Ω_1,C(Ω_1,0))),C(Ω_1,C(Ω_1,0)))	verified
